Component,Metric,Unit,Value
 > PHY,Peak Dynamic,W,0.731237
 > PHY,Subthreshold Leakage,W,0.0902901
 > PHY,Subthreshold Leakage with power gating,W,0.0406305
 > PHY,Gate Leakage,W,0.0168786
 > PHY,Runtime Dynamic,W,4.13145
NIU,Area,mm^2,7.93167
NIU,Peak Dynamic,W,0.93241
NIU,Subthreshold Leakage,W,0.178813
NIU,Subthreshold Leakage with power gating,W,0.080466
NIU,Gate Leakage,W,0.0918312
NIU,Runtime Dynamic,W,0.652687
PCIe,Area,mm^2,6.24
PCIe,Peak Dynamic,W,1.5067
PCIe,Subthreshold Leakage,W,0.214091
PCIe,Subthreshold Leakage with power gating,W,0.0963408
PCIe,Gate Leakage,W,0.109948
PCIe,Runtime Dynamic,W,1.05469
NOC,Area,mm^2,10.0461
NOC,Peak Dynamic,W,1.18259
NOC,Subthreshold Leakage,W,1.62858
NOC,Subthreshold Leakage with power gating,W,0.726753
NOC,Gate Leakage,W,0.391672
NOC,Runtime Dynamic,W,1.18259
 > Router,Area,mm^2,5.02306
 > Router,Peak Dynamic,W,0.591293
 > Router,Subthreshold Leakage,W,0.814291
 > Router,Subthreshold Leakage with power gating,W,0.363377
 > Router,Gate Leakage,W,0.195836
 > Router,Runtime Dynamic,W,1.18259
