Component,Metric,Unit,Value
 > PHY,Area,mm^2,5.15838
 > PHY,Peak Dynamic,W,0.38677
 > PHY,Subthreshold Leakage,W,0.00475528
 > PHY,Subthreshold Leakage with power gating,W,0.00213988
 > PHY,Gate Leakage,W,0.0027743
 > PHY,Runtime Dynamic,W,2.18523
NIU,Area,mm^2,7.93167
NIU,Peak Dynamic,W,0.493175
NIU,Subthreshold Leakage,W,0.00947688
NIU,Subthreshold Leakage with power gating,W,0.00426459
NIU,Gate Leakage,W,0.0149598
NIU,Runtime Dynamic,W,0.345223
PCIe,Area,mm^2,6.24
PCIe,Peak Dynamic,W,0.796931
PCIe,Subthreshold Leakage,W,0.0113465
PCIe,Subthreshold Leakage with power gating,W,0.00510594
PCIe,Gate Leakage,W,0.0179112
PCIe,Runtime Dynamic,W,0.557852
NOC,Area,mm^2,9.68655
NOC,Peak Dynamic,W,0.662898
NOC,Subthreshold Leakage,W,0.0718904
NOC,Subthreshold Leakage with power gating,W,0.0320484
NOC,Gate Leakage,W,0.0547734
NOC,Runtime Dynamic,W,0.662898
 > Router,Area,mm^2,4.84327
 > Router,Peak Dynamic,W,0.331449
 > Router,Subthreshold Leakage,W,0.0359452
 > Router,Subthreshold Leakage with power gating,W,0.0160242
 > Router,Gate Leakage,W,0.0273867
 > Router,Runtime Dynamic,W,0.662898
