Component,Metric,Unit,Value
Processor,Area,mm^2,275.788
Processor,Peak Power,W,36.6441
Processor,Total Leakage,W,5.12764
Processor,Peak Dynamic,W,31.5165
Processor,Subthreshold Leakage,W,3.16296
Processor,Subthreshold Leakage with power gating,W,1.7075
Processor,Gate Leakage,W,1.96468
Processor,Runtime Dynamic,W,30.9962
 > Total Cores,Area,mm^2,114.209
 > Total Cores,Peak Dynamic,W,17.4659
 > Total Cores,Subthreshold Leakage,W,0.432163
 > Total Cores,Subthreshold Leakage with power gating,W,0.196478
 > Total Cores,Gate Leakage,W,1.49763
 > Total Cores,Runtime Dynamic,W,7.99107
 > Total L2s,Area,mm^2,107.195
 > Total L2s,Peak Dynamic,W,5.30732
 > Total L2s,Subthreshold Leakage,W,2.38347
 > Total L2s,Subthreshold Leakage with power gating,W,1.3549
 > Total L2s,Gate Leakage,W,0.194952
 > Total L2s,Runtime Dynamic,W,2.0874
 > Total First Level Directory,Area,mm^2,14.0901
 > Total First Level Directory,Peak Dynamic,W,3.5751
 > Total First Level Directory,Subthreshold Leakage,W,0.287284
 > Total First Level Directory,Subthreshold Leakage with power gating,W,0.129278
 > Total First Level Directory,Gate Leakage,W,0.043831
 > Total First Level Directory,Runtime Dynamic,W,15.9829
 > Total NoCs (Network/Bus),Area,mm^2,9.13285
 > Total NoCs (Network/Bus),Peak Dynamic,W,2.3532
 > Total NoCs (Network/Bus),Subthreshold Leakage,W,0.0326856
 > Total NoCs (Network/Bus),Subthreshold Leakage with power gating,W,0.014495
 > Total NoCs (Network/Bus),Gate Leakage,W,0.142015
 > Total NoCs (Network/Bus),Runtime Dynamic,W,1.6943
 > Total MCs,Area,mm^2,31.1615
 > Total MCs,Peak Dynamic,W,2.81494
 > Total MCs,Subthreshold Leakage,W,0.0273602
 > Total MCs,Subthreshold Leakage with power gating,W,0.0123514
 > Total MCs,Gate Leakage,W,0.0862538
 > Total MCs,Runtime Dynamic,W,3.2405
Core,Area,mm^2,14.2761
Core,Peak Dynamic,W,2.18324
Core,Subthreshold Leakage,W,0.0540204
Core,Subthreshold Leakage with power gating,W,0.0245597
Core,Gate Leakage,W,0.187203
Core,Runtime Dynamic,W,7.99107
 > Instruction Fetch Unit,Area,mm^2,4.67376
 > Instruction Fetch Unit,Peak Dynamic,W,0.602033
 > Instruction Fetch Unit,Subthreshold Leakage,W,0.00555457
